,Li2O,TiO2,ZrO2,SrO,Na2O,ZnO,Nb2O5,Nb2O3,Al2O3,Sb2O3,Y2O3,B2O3,BaO,La2O3,SiO2,K2O,CaO,PbO,ABBENUM
9382,0.0,0.0,0.0,0.0,4.71,0.0,0.0,0.0,21.85,0.0,0.0,0.0,0.0,0.0,49.39,7.03,17.02,0.0,58.2
9383,3.34,5.69,0.0,0.0,7.11,0.0,0.0,0.0,23.78,0.0,0.0,0.0,0.0,0.0,60.08,0.0,0.0,0.0,53.0
9385,3.31,0.0,0.0,7.13,7.29,0.0,0.0,0.0,23.35,0.0,0.0,0.0,0.0,0.0,58.93,0.0,0.0,0.0,57.9
9386,3.3,0.0,0.0,0.0,7.2,6.08,0.0,0.0,22.71,0.0,0.0,0.0,0.0,0.0,60.71,0.0,0.0,0.0,57.8
9387,3.35,0.0,0.0,0.0,7.36,0.0,0.0,0.0,23.78,0.0,0.0,0.0,0.0,0.0,61.17,0.0,4.34,0.0,57.9
9388,3.13,0.0,0.0,0.0,6.76,0.0,0.0,0.0,22.3,0.0,0.0,0.0,11.31,0.0,56.5,0.0,0.0,0.0,58.7
9390,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,16.45,0.0,0.0,11.39,0.0,0.0,46.64,7.15,13.3,0.0,60.3
9392,0.0,2.96,0.0,0.0,4.46,17.25,0.0,0.0,11.04,0.0,0.0,10.12,0.0,0.0,47.2,6.82,0.0,0.0,49.2
9393,0.0,0.0,3.77,0.0,3.73,0.0,0.0,0.0,9.35,0.0,0.0,8.029999999999998,28.05,0.0,41.34,5.53,0.0,0.0,58.2
9394,0.0,0.0,4.21,20.76,4.23,0.0,0.0,0.0,10.2,0.0,0.0,9.46,0.0,0.0,44.66,6.27,0.0,0.0,59.0
9398,0.0,0.0,0.0,0.0,9.27,0.0,0.0,0.0,15.78,0.0,0.0,0.0,16.42,0.0,44.92,13.61,0.0,0.0,55.6
9399,0.0,0.0,0.0,0.0,13.54,0.0,0.0,0.0,14.77,0.0,0.0,0.0,0.0,0.0,43.27,20.4,8.019999999999998,0.0,59.4
9400,0.0,0.0,0.0,0.0,13.09,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,41.98,19.55,3.78,0.0,57.8
9401,0.0,0.0,0.0,5.92,0.0,6.3,0.0,0.0,18.73,0.0,0.0,7.76,4.33,0.0,56.96,0.0,0.0,0.0,64.9
9402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.13,0.0,0.0,0.0,0.0,0.0,8.769999999999998,0.0,48.1,0.0,47.1
9403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.95,0.0,0.0,0.0,0.0,0.0,15.61,0.0,29.44,0.0,52.8
9404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.56,0.0,0.0,0.0,0.0,0.0,24.57,0.0,31.87,0.0,53.8
9405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4,0.0,0.0,0.0,0.0,0.0,33.98,0.0,23.62,0.0,56.4
9406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.28,0.0,0.0,0.0,0.0,0.0,36.6,0.0,33.12,0.0,54.5
9407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.22,0.0,0.0,0.0,0.0,0.0,38.55,0.0,45.23,0.0,53.1
9408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.13,0.0,0.0,0.0,0.0,0.0,49.5,0.0,34.37,0.0,56.8
9448,5.0,6.3,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,24.0,0.0,17.5,19.8,0.0,13.4,0.0,41.3
9449,5.0,9.5,2.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,21.0,0.0,19.6,25.7,0.0,15.1,0.0,42.0
9451,6.0,5.5,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,35.0,0.0,16.5,18.0,0.0,11.0,0.0,44.1
9453,4.0,4.3,6.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,21.5,2.0,16.6,23.1,0.0,10.5,0.0,37.8
9454,6.5,4.0,4.1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,28.0,21.4,0.0,12.0,0.0,44.1
9455,3.8,6.0,5.6,0.0,0.5,0.0,6.6,0.0,0.0,0.0,0.0,25.0,0.0,18.3,22.0,0.0,12.2,0.0,38.6
9456,5.5,13.0,1.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,22.0,0.0,16.0,23.6,1.0,16.0,0.0,36.8
9457,7.0,6.0,1.5,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,23.0,0.0,17.0,20.0,0.0,23.0,0.0,44.0
9458,5.3,4.9,5.2,0.0,0.0,0.0,13.4,0.0,4.0,0.0,0.0,20.0,0.0,12.2,17.6,0.0,17.4,0.0,40.6
9459,7.0,15.0,2.0,1.0,0.0,6.3,15.5,0.0,0.0,0.0,0.0,4.2,7.3,3.3,30.4,0.0,8.0,0.0,31.2
9460,7.0,11.0,0.0,1.0,0.0,6.3,27.5,0.0,0.0,0.0,0.0,4.2,7.3,0.0,26.4,0.0,9.3,0.0,29.9
9461,6.5,4.9,5.2,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,17.9,0.0,15.0,18.5,0.0,17.6,0.0,40.1
9463,5.5,3.9,6.2,0.0,2.0,2.5,13.4,0.0,0.0,0.0,0.0,21.9,0.0,13.0,19.2,0.0,12.4,0.0,40.5
9464,7.0,13.0,2.0,2.0,0.0,8.5,13.5,0.0,0.0,0.0,0.0,1.2,8.0,5.0,31.8,0.0,8.0,0.0,33.8
9465,5.5,2.0,8.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,21.5,0.0,12.0,18.0,0.0,18.0,0.0,39.2
9466,6.0,5.0,6.0,0.0,0.0,2.0,13.5,0.0,0.0,0.0,0.0,16.5,0.0,6.5,18.5,0.0,26.0,0.0,40.1
9467,7.0,11.0,0.0,1.0,0.0,6.3,29.0,0.0,0.0,0.0,0.0,4.0,5.7,0.0,26.5,0.0,9.5,0.0,29.4
9468,3.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,28.0,0.0,21.0,15.0,0.0,11.0,0.0,53.3
9470,4.0,0.0,5.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,8.0,34.0,0.0,27.0,9.0,0.0,3.0,0.0,53.0
9471,6.8,0.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,34.0,0.0,21.0,9.0,0.0,10.0,0.0,53.5
9473,5.8,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,31.0,6.0,21.0,9.0,0.0,6.0,0.0,52.6
9474,3.0,0.0,3.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,8.0,33.0,0.0,21.0,7.0,0.0,10.0,0.0,53.0
9477,4.0,0.0,5.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,10.0,34.0,0.0,25.0,9.0,0.0,3.0,0.0,52.5
9478,0.0,0.1,5.4,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.0,42.9,0.0,40.0,1.0,0.0,5.5,0.0,53.78
9481,0.0,3.0,8.5,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.0,29.9,0.0,40.0,9.0,0.0,5.5,0.0,46.43
9483,0.0,2.5,6.1,1.0,0.0,5.9,0.0,0.0,0.0,0.1,0.0,38.8,0.0,35.20000000000001,2.9,0.0,7.5,0.0,48.2
9484,0.0,1.5,6.4,1.0,0.0,5.9,0.0,0.0,0.0,0.1,0.0,38.8,0.0,35.1,3.7,0.0,7.5,0.0,50.1
9486,0.0,7.0,0.0,0.0,8.099999999999998,0.0,0.0,0.0,0.0,0.3,0.0,8.8,4.5,0.0,63.5,7.599999999999999,0.2,0.0,50.74
9487,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.3,0.0,5.0,4.5,0.0,74.5,6.0,0.2,0.0,54.79
9488,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.3,0.0,9.5,5.0,0.0,75.0,5.0,0.2,0.0,63.1
9489,0.0,1.2,0.3,0.0,4.0,0.5,0.0,0.0,0.0,0.3,0.0,5.0,20.0,0.0,63.5,5.0,0.2,0.0,59.22
9490,0.0,5.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.3,0.0,8.8,5.6,0.0,63.46,7.599999999999999,0.14,0.0,53.87
9519,0.0,2.75,2.4,0.0,0.0,0.3,3.45,0.0,0.0,0.2,0.2,13.04,38.05,21.78,16.53,0.0,0.7,0.0,44.85
9525,0.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,28.0,3.0,0.0,24.0,0.0,31.7
9526,0.0,22.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,29.0,0.0,37.0,6.0,0.0,5.0,0.0,30.1
9529,2.0,19.5,4.0,0.0,1.0,6.0,0.5,0.0,0.0,0.0,0.0,26.0,3.0,28.5,4.0,0.0,5.5,0.0,28.3
9530,0.0,16.0,12.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,28.2,0.0,28.0,3.0,0.0,12.5,0.0,32.8
9532,0.0,16.0,1.5,0.0,0.0,0.0,18.0,0.0,0.0,0.1,0.0,25.0,0.0,28.0,3.0,0.0,8.4,0.0,27.2
9535,0.0,19.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,26.5,4.0,0.0,11.0,0.0,30.0
9536,0.0,15.5,7.5,0.0,0.0,0.0,18.5,0.0,0.0,0.1,0.0,24.4,0.0,15.5,3.0,0.0,15.5,0.0,28.0
