Li2O,TiO2,ZrO2,SrO,Na2O,ZnO,Nb2O5,Nb2O3,Al2O3,Sb2O3,Y2O3,B2O3,BaO,La2O3,SiO2,K2O,CaO,PbO,RI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.31,0.0,0.0,0.0,0.0,51.8,23.88,0.0,0.0,0.0,1.704
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.66,0.0,21.39,0.0,0.0,30.86,28.08,0.0,0.0,0.0,1.704
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.41,0.0,19.5,0.0,0.0,28.14,25.95,0.0,0.0,0.0,1.698
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.97,0.0,20.54,0.0,0.0,29.63,22.85,0.0,0.0,0.0,1.717
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,24.95,0.0,40.03,0.0,0.0,0.0,25.01,0.0,0.0,0.0,1.747
0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,21.21,0.0,46.15,0.0,0.0,0.0,23.13,0.0,0.0,0.0,1.77
0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,21.19,0.0,0.0,0.0,0.0,49.06,21.24,0.0,0.0,0.0,1.777
0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,17.61,0.0,0.0,0.0,0.0,55.28,19.2,0.0,0.0,0.0,1.792
0.0,9.090000000000002,0.0,0.0,0.0,0.0,0.0,0.0,17.56,0.0,0.0,0.0,0.0,55.12,18.23,0.0,0.0,0.0,1.798
0.0,10.86,0.0,0.0,0.0,0.0,0.0,0.0,17.48,0.0,0.0,0.0,0.0,54.87,16.79,0.0,0.0,0.0,1.821
0.0,6.21,0.0,0.0,0.0,0.0,0.0,0.0,23.79,0.0,21.96,0.0,0.0,31.68,16.36,0.0,0.0,0.0,1.8
0.0,8.04,0.0,0.0,0.0,0.0,0.0,0.0,23.68,0.0,21.85,0.0,0.0,31.53,14.89,0.0,0.0,0.0,1.813
0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,23.61,0.0,21.79,0.0,0.0,31.44,13.91,0.0,0.0,0.0,1.819
0.0,0.0,0.0,0.0,13.58,0.0,0.0,0.0,0.0,0.0,0.0,86.42,0.0,0.0,0.0,0.0,0.0,0.0,1.497
0.0,0.0,0.0,0.0,13.54,0.0,0.0,0.0,0.0,0.0,0.0,86.01,0.0,0.0,0.0,0.0,0.0,0.0,1.497
0.0,0.0,0.0,0.0,13.49,0.0,0.0,0.0,0.0,0.0,0.0,85.67,0.0,0.0,0.0,0.0,0.0,0.0,1.497
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47
0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0,0.0,0.0,0.0,95.52,0.0,0.0,0.0,0.0,0.0,0.0,1.479
